User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1007270,P8189,F,46-50,1,B,4+,0,7,7.0,,5384
1000860,P5535,M,0-17,8,A,2,1,9,11.0,8.0,6404
1005390,P3776,M,36-45,17,C,4+,0,1,,,6119
1005191,P8697,F,26-35,18,A,3,1,10,7.0,,4774
1005734,P9386,M,26-35,17,A,1,1,13,5.0,10.0,9263
1006265,P1662,F,46-50,4,C,4+,1,12,9.0,15.0,7764
1000466,P9671,F,26-35,17,C,3,0,4,13.0,,3706
1004426,P9044,F,51-55,11,A,1,0,7,16.0,18.0,4299
1005578,P5218,F,18-25,3,B,3,1,10,,,5773
1008322,P6060,F,36-45,14,B,1,0,7,1.0,14.0,3670
1001685,P6874,F,36-45,10,B,1,0,15,,,10349
1000769,P6581,M,18-25,18,A,4+,0,19,12.0,,14221
1006949,P3014,M,26-35,4,B,2,1,7,,,4930
1002433,P4789,F,46-50,5,C,4+,0,14,2.0,,7133
1005311,P8148,F,36-45,12,A,0,1,14,,,6747
1005051,P8766,F,26-35,9,C,3,0,18,,,8425
1006420,P3364,M,26-35,13,C,0,0,10,12.0,,6373
1001184,P4629,F,0-17,3,A,1,0,3,4.0,15.0,4831
1004555,P6919,F,18-25,19,C,4+,0,6,14.0,,9372
1003385,P6675,F,26-35,11,A,0,0,9,,,5393
1006396,P9872,M,18-25,14,B,0,0,14,,10.0,7658
1008666,P7638,F,46-50,9,C,0,0,8,,,4338
1009274,P5651,M,36-45,10,A,1,1,1,,,3841
1002558,P1609,M,51-55,8,B,1,1,3,15.0,,4393
1007849,P8940,F,36-45,10,C,1,0,6,9.0,,5121
1002047,P4866,M,51-55,1,B,0,0,1,10.0,,2227
1002747,P1371,M,26-35,12,A,3,0,18,6.0,12.0,11851
1009167,P7998,M,36-45,7,A,4+,0,10,17.0,3.0,7637
1009998,P1615,F,55+,20,B,4+,0,17,12.0,,10865
1000189,P7911,M,36-45,20,C,1,1,1,9.0,,4344
1002734,P7010,F,0-17,7,C,0,1,8,,,5393
1003005,P3253,F,36-45,0,B,3,1,12,16.0,,5942
1004658,P5942,F,51-55,5,B,2,0,19,16.0,,10524
1001899,P1864,M,46-50,12,A,1,1,14,1.0,,9128
1007734,P2268,F,36-45,8,A,2,1,19,11.0,5.0,10761
1001267,P8454,M,36-45,5,B,4+,0,17,,14.0,7523
1001528,P9976,M,55+,14,B,4+,1,16,2.0,,9947
1003556,P5571,M,18-25,15,B,3,0,19,14.0,,10430
1003890,P6229,M,36-45,3,C,3,0,5,1.0,,3426
1008838,P3237,F,18-25,16,B,2,0,19,,,11434
1005393,P5054,F,36-45,8,B,4+,1,4,,,4293
1008792,P1935,M,36-45,11,A,3,1,5,,,7785
1008433,P7394,F,18-25,18,C,3,1,5,2.0,,5661
1007513,P8891,F,18-25,19,C,4+,1,1,,,3183
1002612,P1325,F,36-45,11,C,4+,0,18,,,9730
1007041,P8774,M,18-25,5,B,0,0,15,13.0,,7194
1009555,P4861,F,18-25,11,B,3,1,19,15.0,,11737
1006235,P2985,M,46-50,8,B,2,1,14,1.0,,8758
1005486,P5932,F,26-35,19,A,1,0,6,3.0,15.0,5939
1007099,P5603,M,26-35,4,B,1,1,18,17.0,,8463
1009670,P3778,M,51-55,20,C,4+,0,8,,,7635
1000775,P9832,M,18-25,2,A,2,1,5,,16.0,3298
1008226,P8754,F,26-35,1,A,0,1,8,8.0,13.0,4595
1003152,P5078,M,36-45,7,B,3,1,6,6.0,5.0,5271
1001585,P2367,F,36-45,9,A,0,0,10,6.0,,5843
1003943,P5042,M,51-55,14,B,2,0,3,,,3389
1007555,P3575,F,51-55,8,B,0,0,13,2.0,12.0,7620
1003073,P7754,M,36-45,9,A,4+,1,7,,17.0,6852
1001021,P2581,F,18-25,10,C,1,1,4,10.0,,5274
1003843,P2986,M,0-17,8,B,4+,1,13,9.0,,8829
1007989,P3240,M,26-35,13,C,3,0,6,3.0,2.0,6063
1009692,P4966,M,18-25,4,C,4+,0,16,2.0,14.0,8369
1006873,P8604,F,36-45,8,C,2,0,1,4.0,,4225
1005675,P9320,M,36-45,3,A,2,0,13,8.0,,5597
1000161,P6968,M,0-17,1,A,3,1,2,9.0,18.0,3681
1004297,P8493,M,46-50,18,A,3,1,20,2.0,,12390
1000995,P5103,M,18-25,0,B,1,1,19,16.0,,9792
1007629,P3076,F,26-35,20,C,0,0,6,6.0,,4733
1009467,P6231,M,36-45,0,B,1,0,11,8.0,16.0,6656
1001016,P3994,M,26-35,11,C,4+,0,17,,7.0,8851
1007869,P4744,F,26-35,10,A,0,1,9,11.0,,6817
1006439,P6594,F,0-17,0,A,3,1,5,,,5135
1007892,P8531,F,26-35,13,C,2,0,5,12.0,,5316
1006863,P8371,M,36-45,10,B,4+,0,16,,,9765
1007916,P2644,F,51-55,6,C,1,1,4,,,4872
1008529,P4144,F,26-35,1,A,3,1,20,,9.0,11111
1000878,P1242,F,26-35,14,C,0,0,13,9.0,,7106
1009268,P5085,M,36-45,7,B,0,1,17,12.0,,7674
1004887,P8954,M,51-55,19,C,2,0,9,,,7373
1004859,P8269,M,18-25,14,A,3,1,13,7.0,,9449
1006331,P8130,F,26-35,7,B,3,0,16,11.0,,6923
1008571,P7828,M,46-50,9,C,4+,0,20,2.0,,10923
1008684,P9362,F,36-45,18,C,4+,0,10,12.0,,8434
1007208,P9844,F,18-25,2,A,0,0,10,9.0,,5980
1005276,P7331,F,36-45,19,A,1,0,20,6.0,10.0,12965
1002062,P4512,M,18-25,13,B,0,1,16,,,11081
1000064,P2499,F,26-35,8,A,4+,0,20,6.0,17.0,10261
1008006,P3158,F,26-35,8,B,4+,1,1,,,2439
1002568,P6162,M,46-50,20,A,4+,0,11,,,7481
1005463,P5039,F,26-35,5,A,0,0,13,,,7662
1002027,P3035,F,18-25,7,B,3,1,18,,,8212
1002695,P8977,F,18-25,10,B,1,1,5,13.0,,2970
1009687,P1857,M,46-50,7,B,1,0,4,,,1594
1005258,P4823,F,18-25,11,C,4+,0,6,,,5035
1005618,P7770,M,26-35,9,A,2,1,15,6.0,,11287
1006736,P1298,M,18-25,3,B,0,0,2,12.0,,891
1000391,P8244,F,36-45,15,A,3,0,4,8.0,,4279
1005892,P1923,F,26-35,19,B,4+,0,14,5.0,,8483
1003561,P5232,F,26-35,5,A,2,0,4,9.0,11.0,3718
1006184,P5306,F,26-35,8,A,4+,0,18,4.0,,11188
1003099,P3799,M,46-50,4,A,2,1,20,9.0,,9474
1006278,P7578,M,26-35,20,A,1,0,16,,3.0,7564
1008392,P5875,F,36-45,5,C,2,0,9,4.0,,5259
1003104,P6326,M,51-55,16,B,1,1,8,17.0,,5659
1007215,P7582,F,51-55,16,C,1,1,11,2.0,1.0,4683
1002454,P2802,F,26-35,12,B,0,0,14,,,8615
1008996,P3657,F,55+,16,A,2,1,17,15.0,,8337
1002731,P4346,F,0-17,13,A,3,1,13,8.0,,7880
1008154,P3949,M,26-35,1,A,3,0,8,6.0,,5125
1009762,P1941,M,51-55,18,A,2,0,14,9.0,2.0,7691
1005056,P2907,F,18-25,2,B,0,1,11,11.0,,7589
1008110,P5837,F,18-25,1,B,3,0,9,,,5322
1003840,P9105,M,26-35,1,B,4+,0,8,2.0,,5625
1001028,P2243,M,36-45,6,A,3,1,14,2.0,,8964
1007385,P6696,M,26-35,3,A,0,0,15,11.0,,8826
1000502,P2466,F,36-45,16,A,1,1,1,,1.0,3534
1006910,P4957,M,51-55,5,A,1,0,12,,11.0,6411
1009062,P2966,F,36-45,6,C,1,0,5,11.0,,3025
1006938,P1375,F,18-25,19,A,0,0,14,6.0,,8929
1004488,P1262,M,51-55,5,B,1,0,16,9.0,15.0,7846
1000206,P5362,F,18-25,8,B,1,1,19,14.0,,11033
1005134,P7502,M,18-25,19,A,0,1,16,6.0,,9685
1005977,P8833,F,18-25,3,C,4+,0,7,10.0,2.0,5758
1007721,P2893,F,26-35,4,B,3,1,3,14.0,,2257
1007035,P9106,F,18-25,18,A,0,0,8,5.0,,4911
1001484,P2652,F,18-25,9,C,0,0,14,,,10155
1007858,P6540,F,26-35,17,A,2,0,20,2.0,18.0,10841
1000863,P4892,F,18-25,14,A,1,0,3,,,5136
1002790,P1599,M,36-45,0,C,4+,1,11,,11.0,5006
1007408,P5815,M,46-50,4,B,2,0,14,,,7800
1008755,P2912,F,36-45,4,A,4+,0,2,14.0,,4603
1005116,P9792,M,18-25,7,A,1,0,4,3.0,2.0,2442
1006019,P9572,F,18-25,19,C,1,1,5,,3.0,7870
1001757,P5213,M,55+,14,A,1,1,19,11.0,,10983
1007574,P4637,M,0-17,16,A,3,1,10,9.0,,6277
1006374,P6599,F,46-50,18,B,4+,0,2,,,4302
1006892,P7448,M,18-25,12,C,4+,0,3,,,5551
1001678,P9557,F,51-55,20,A,2,0,15,8.0,,8209
1003242,P8382,M,26-35,9,C,0,0,19,10.0,,9622
1004636,P9982,F,26-35,16,B,1,1,2,3.0,14.0,4059
1001059,P4569,M,36-45,4,B,1,0,3,10.0,,4296
1006668,P8707,F,36-45,17,B,2,0,12,,9.0,7582
1009914,P1746,M,26-35,16,C,4+,0,14,7.0,,9343
1003157,P9504,F,26-35,3,A,3,0,17,,,10004
1005915,P5633,M,36-45,6,A,4+,0,16,12.0,3.0,9268
1009789,P1920,F,0-17,4,C,3,0,17,5.0,17.0,8210
1002693,P8008,M,0-17,7,B,3,0,9,9.0,,6295
1003627,P3381,F,26-35,7,B,4+,1,3,,,5727
1009555,P4618,M,18-25,10,B,1,0,14,,7.0,8900
1005450,P9989,F,36-45,8,B,3,1,3,12.0,,5168
1001663,P5443,F,18-25,18,C,2,1,6,3.0,,4863
1009721,P1272,F,26-35,18,C,2,1,19,,,10995
1005592,P2773,F,18-25,8,B,3,0,13,1.0,,8633
1007392,P3547,M,26-35,19,A,1,0,5,6.0,,7237
1001306,P4164,M,18-25,16,B,3,1,1,11.0,9.0,5133
1006776,P5780,M,0-17,15,B,2,0,12,2.0,10.0,6657
1005864,P1946,F,0-17,6,B,2,0,15,8.0,,9742
1009474,P1506,F,55+,2,B,4+,0,19,11.0,,11743
1007526,P7719,F,18-25,20,A,1,1,2,12.0,2.0,3310
1008901,P9435,F,36-45,18,B,4+,1,3,9.0,,3207
1005575,P9697,F,0-17,7,B,0,0,7,,8.0,5191
1005530,P7360,M,18-25,4,C,3,0,11,9.0,6.0,7155
1004413,P8657,M,26-35,5,B,4+,1,10,15.0,,6180
1003748,P4590,M,26-35,1,A,1,0,8,8.0,,4136
1000663,P2192,F,55+,18,B,3,0,2,4.0,16.0,5647
1001998,P2464,F,51-55,12,C,3,0,14,13.0,18.0,7288
1007994,P1390,F,36-45,5,B,3,1,13,15.0,,6892
1001495,P6615,F,36-45,5,B,3,0,7,8.0,7.0,5231
1003304,P7106,F,26-35,1,B,3,0,9,,,3893
1003763,P9864,F,26-35,4,A,1,0,7,11.0,,3181
1005232,P3560,F,51-55,10,C,0,1,1,13.0,10.0,2482
1001853,P6867,M,36-45,10,A,2,1,1,7.0,,4291
1006585,P2211,M,26-35,13,B,0,0,6,8.0,,5706
1001291,P2539,F,18-25,12,A,2,1,1,2.0,,649
1003581,P1643,F,0-17,7,A,4+,0,16,,,10487
1007554,P9693,F,51-55,14,B,3,0,3,10.0,4.0,4997
1007280,P9921,M,26-35,11,B,4+,1,13,,2.0,8389
1001636,P2283,M,26-35,2,B,4+,0,4,7.0,,4217
1003696,P8680,F,18-25,20,B,2,0,17,4.0,14.0,10808
1000698,P8345,M,46-50,4,B,1,0,10,8.0,,9332
1004737,P5386,M,0-17,5,B,3,1,4,12.0,13.0,5257
1000854,P1919,M,46-50,1,B,4+,1,20,10.0,6.0,10715
1008164,P3339,F,18-25,7,B,0,1,12,14.0,,5747
1005855,P9947,M,51-55,4,B,3,0,13,12.0,1.0,7937
1007392,P6930,M,36-45,16,B,1,1,4,4.0,,5788
1006528,P6402,F,18-25,1,C,3,0,16,,,8322
1005249,P6663,F,26-35,10,A,4+,1,19,1.0,,9573
1005172,P6275,M,26-35,3,C,0,1,7,8.0,,5944
1001707,P1507,F,18-25,10,A,4+,0,1,11.0,,1814
1005791,P2436,M,46-50,8,A,1,0,16,,,10222
1009925,P9750,M,26-35,5,A,2,0,2,1.0,8.0,2877
1005535,P8354,F,26-35,1,B,0,1,1,4.0,,200
1004931,P5516,F,18-25,14,A,1,0,14,4.0,,7894
1003510,P4622,M,26-35,4,C,1,0,20,,17.0,10471
1000202,P5399,F,46-50,11,C,4+,0,5,,7.0,5323
1004218,P6037,F,26-35,12,B,4+,0,15,10.0,,9244
1008958,P9111,M,55+,16,B,4+,1,10,,,5711
1004389,P4715,M,51-55,3,C,2,0,2,7.0,14.0,3427
1002327,P8837,M,18-25,9,C,3,0,11,2.0,4.0,6599
1008004,P2301,M,18-25,0,B,3,1,16,,16.0,8268
1002931,P8370,M,46-50,10,B,4+,1,19,4.0,,9302
1007777,P6185,M,26-35,15,B,4+,0,4,,,4739
1000197,P3155,F,0-17,10,B,2,0,10,17.0,,10359
1007125,P7411,F,18-25,8,A,3,1,12,9.0,,9508
1001930,P7365,M,36-45,1,B,2,0,2,2.0,,1962
1006287,P1692,F,46-50,6,A,1,1,2,,,3239
1008800,P2478,F,18-25,18,B,3,0,9,15.0,4.0,6303
1009339,P7396,M,18-25,17,B,4+,0,12,16.0,16.0,8290
1004282,P9448,F,51-55,19,C,0,0,2,1.0,,5040
1002511,P1441,F,36-45,6,C,1,0,18,10.0,16.0,9405
1009986,P3646,M,36-45,8,B,0,1,16,10.0,11.0,8325
1000659,P6209,F,36-45,11,B,2,1,19,6.0,1.0,11648
1002811,P7533,F,26-35,2,A,2,1,15,,,6639
1007098,P5677,M,36-45,15,B,2,1,16,,,9827
1006546,P8211,F,26-35,6,A,4+,1,6,,,2977
1009561,P3645,F,18-25,4,A,2,1,15,3.0,,7009
1001986,P9210,F,36-45,6,B,0,1,12,2.0,16.0,8054
1008338,P8933,M,26-35,18,A,1,0,12,,,7365
1002911,P6476,M,55+,16,A,4+,0,10,13.0,5.0,5008
1001734,P8928,F,26-35,15,C,1,1,15,10.0,,8033
1001843,P3080,F,51-55,20,A,2,1,4,4.0,,3804
1008680,P7089,M,51-55,20,A,3,1,10,,,5985
1002976,P8396,M,18-25,18,A,4+,1,19,16.0,9.0,11640
1001959,P8797,F,46-50,17,A,2,0,14,14.0,15.0,6764
1005759,P1861,M,26-35,18,A,4+,1,10,15.0,5.0,6674
1006694,P9346,F,51-55,3,C,3,1,17,3.0,,9140
1002385,P4494,F,26-35,0,A,0,0,11,16.0,,5989
1004736,P1904,M,36-45,3,C,0,1,18,7.0,,9195
1001802,P2269,M,26-35,3,A,0,0,2,8.0,,2413
1008155,P1404,F,18-25,8,B,3,1,11,14.0,3.0,5417
1008120,P2184,F,18-25,7,B,1,1,8,,,4856
1006616,P9938,M,26-35,1,B,3,0,19,6.0,,10749
1005534,P2725,F,36-45,5,B,3,0,16,13.0,4.0,8179
1004061,P9462,M,36-45,10,C,2,0,4,,,4700
1000262,P6811,M,36-45,3,A,0,0,14,7.0,1.0,9421
1006287,P6606,M,18-25,13,B,4+,0,17,16.0,2.0,10600
1008815,P4956,M,26-35,20,C,1,0,11,,,6368
1009208,P1171,M,0-17,8,A,4+,1,3,2.0,,4518
1002049,P9465,F,46-50,1,A,2,0,4,,7.0,4917
1005423,P3306,M,55+,0,A,2,0,13,15.0,,6801
1004548,P1421,M,26-35,3,B,1,1,17,14.0,,7377
1003108,P6540,M,0-17,11,A,4+,1,20,,13.0,10431
1007158,P5675,M,18-25,4,A,1,1,20,,,10766
1007400,P7748,M,36-45,8,B,1,1,10,16.0,,7491
1003170,P7103,M,36-45,3,B,0,0,12,5.0,,6655
1009874,P2473,M,46-50,15,A,4+,0,8,3.0,,3957
1002255,P4243,F,18-25,1,A,0,0,3,2.0,2.0,1728
1001154,P3181,F,36-45,15,B,0,1,10,14.0,,7332
1004499,P4096,F,36-45,15,C,0,0,7,13.0,1.0,8089
1006295,P7646,F,26-35,20,B,3,1,10,13.0,,7174
1006197,P6882,M,26-35,10,C,2,0,7,,,7275
1009888,P6982,F,18-25,0,B,2,0,18,9.0,,7932
1001648,P6798,M,26-35,14,A,3,0,20,1.0,,10363
1005539,P9415,F,51-55,3,B,1,1,14,10.0,,4972
1009637,P9411,F,26-35,17,C,4+,0,12,,,8264
1004199,P9456,M,46-50,16,B,4+,0,8,6.0,,5388
1008445,P5524,M,36-45,6,C,4+,0,7,16.0,,6179
1002557,P7559,F,18-25,17,C,0,0,5,6.0,,4417
1005592,P8620,F,36-45,12,A,4+,1,1,12.0,,5546
1000098,P3774,F,26-35,19,A,4+,0,15,3.0,,11292
1002200,P6673,F,26-35,19,A,4+,0,9,3.0,,3976
1002961,P4124,M,18-25,9,B,2,1,12,5.0,,8349
1004973,P9671,F,26-35,0,A,3,0,18,,,8308
1004433,P2353,F,0-17,1,C,1,0,11,10.0,,7236
1002869,P4854,F,18-25,16,A,3,0,10,,,5348
1000956,P9134,F,26-35,2,A,4+,0,10,2.0,,7849
1008352,P1924,F,26-35,16,A,1,0,18,10.0,15.0,11397
1005699,P3170,M,51-55,11,C,1,1,1,,4.0,1663
1006944,P6506,M,26-35,11,B,3,1,20,3.0,,10742
1004493,P3395,M,36-45,19,C,3,0,11,,,8035
1009492,P9220,M,26-35,9,C,3,1,2,17.0,,4503
1004911,P9226,M,36-45,6,B,3,0,11,12.0,15.0,7046
1003987,P6515,F,18-25,9,A,0,0,2,17.0,,4284
1009719,P3670,M,51-55,17,A,2,1,9,13.0,,6835
1006015,P4365,M,26-35,5,A,2,0,1,,14.0,3734
1001218,P1588,F,46-50,6,B,4+,0,6,,,3119
1004496,P4138,M,26-35,16,A,0,1,2,,,4029
1004735,P7663,M,18-25,11,A,1,0,15,9.0,,10340
1004555,P5086,M,36-45,16,B,3,0,1,,,5353
1009146,P9531,M,0-17,17,B,4+,1,18,15.0,,10728
1008050,P5270,F,26-35,13,B,1,1,4,2.0,2.0,4261
1003446,P7019,F,18-25,10,B,2,1,13,4.0,,9442
1001045,P1556,M,36-45,1,C,1,0,4,7.0,,3839
1006893,P9022,F,55+,20,B,3,0,15,8.0,,10573
1001693,P6452,M,26-35,0,A,3,0,2,1.0,,2972
1003436,P4567,F,46-50,10,C,2,0,9,1.0,,6248
1008754,P4899,F,26-35,1,C,3,0,12,5.0,,5534
1005895,P7477,F,26-35,15,A,0,1,14,8.0,,7001
1003354,P8500,F,51-55,2,B,4+,0,20,1.0,3.0,11294
1000225,P2016,F,51-55,19,B,2,0,4,,,6807
1004893,P7470,F,46-50,0,A,2,0,15,,,8127
1007022,P3062,F,18-25,20,C,1,1,4,3.0,18.0,4601
1009151,P5321,F,26-35,19,A,2,1,5,1.0,10.0,6367
1005600,P4496,F,18-25,7,C,4+,1,10,4.0,,6825
1007996,P2813,F,26-35,18,B,0,0,12,,,5002
1009007,P7256,F,26-35,0,B,1,0,12,,,7992
1007683,P3313,M,46-50,4,A,4+,0,8,,1.0,4136
1004642,P2231,F,51-55,0,A,2,1,4,14.0,,3586
1007679,P6831,M,26-35,10,A,3,0,3,,13.0,3570
1008208,P3999,F,0-17,20,A,3,0,1,4.0,,2831
1007339,P4440,M,46-50,8,A,4+,0,18,4.0,8.0,10036
1009435,P5056,M,18-25,4,C,0,0,20,9.0,,11612
1002205,P1305,M,36-45,1,B,3,0,14,2.0,,7998
1001069,P2689,F,0-17,12,C,4+,0,17,10.0,18.0,11212
1003444,P4917,F,26-35,17,B,1,0,6,,,7261
1001060,P8080,F,55+,11,C,2,0,6,14.0,,6890
1002327,P9611,F,18-25,13,C,0,0,10,15.0,,6713
